RunID,seed,log_inv_sq_dist_m,seed_x_m,seed_y_m
Run_7_1,26,-15.87798742474953,9.127357006073e-05,8.75985031714663e-05
Run_7_1,27,-15.759575718091964,5.761136768851429e-05,1.101343771442771e-05
Run_7_1,28,-16.044996097278986,4.159270671661944e-05,9.536560529377312e-05
Run_7_1,29,-16.192735527344098,6.025755689479411e-05,9.237238171044738e-05
Run_7_1,30,-16.52417746396355,4.751252778805792e-05,7.663221408147365e-05
Run_7_1,31,-16.066916234021367,1.940969107672572e-05,6.623375611379743e-05
Run_7_1,32,-16.11275838051764,9.082669119816274e-05,5.200291355140508e-05
Run_7_1,33,-16.15708910878286,7.078938530758024e-05,9.069914957508444e-05
Run_7_1,34,-15.569520813715567,4.2883348255418246e-05,4.937150957994163e-06
Run_7_1,35,-16.483792585738655,5.048135404940695e-05,7.986415587365627e-05
Run_7_1,36,-15.89180223147392,9.758880899753422e-05,4.5164465601556e-05
Run_7_1,37,-15.46768904830631,9.39031564630568e-05,1.211927989497781e-05
Run_8_1,1,-15.015422248368557,2.785588996484876e-05,9.540929545182736e-05
Run_8_1,2,-14.77940653099839,3.1843656674027443e-06,1.0355013329535722e-05
Run_8_1,3,-15.667341979127267,3.0339261190965773e-05,6.176465190947057e-05
Run_8_1,4,-15.773740165293027,4.58177161635831e-05,3.213765642140061e-05
Run_8_1,5,-15.733892285753575,5.493144958745688e-05,2.9950805567204952e-05
Run_8_1,6,-15.788230325244609,3.763399312738329e-05,3.800295249093324e-05
Run_8_1,7,-15.733573995595515,4.042486813850701e-05,6.705433218739928e-05
Run_8_1,8,-15.089038957339147,5.2253004210069775e-05,1.5587228117510678e-06
Run_8_1,9,-15.17883748300091,8.714274596422911e-05,2.4934732727706437e-05
Run_8_1,10,-15.665652500704933,3.160545169375837e-05,3.528955823276192e-05
Run_8_1,11,-15.336165116986578,3.857229750137776e-05,1.359011079184711e-05
Run_8_1,12,-15.842720751065631,6.39621212380007e-05,5.087008620612323e-05
Run_8_1,13,-15.927589989765968,4.505504115950316e-05,5.224025866482407e-05
Run_8_1,14,-14.733485650588253,9.81697264360264e-05,8.038236387073995e-06
Run_8_1,15,-15.123753739188833,9.20998091576621e-05,7.006275041494518e-05
Run_8_1,16,-15.260903943990819,4.601203079801053e-05,9.020083136856555e-05
Run_8_1,17,-15.262930482528809,2.4163748510181905e-05,8.086910652928054e-05
Run_8_1,18,-15.090469105913188,1.0398457851260902e-05,2.296191595960409e-05
Run_8_1,19,-15.066887386229862,4.084239040967077e-05,9.752634256146848e-05
Run_8_1,20,-14.86786061425808,9.343588056508452e-05,8.739760217722505e-05
Run_8_1,21,-15.043417291929021,9.74282804178074e-05,3.305710852146149e-05
Run_8_1,22,-15.209781187417406,5.1175545901060105e-05,9.25232426263392e-05
Run_8_1,23,-15.568282290769247,2.3101797257550063e-05,4.305665595456958e-05
Run_8_1,24,-15.833434750358368,5.263519820291549e-05,6.36755067622289e-05
Run_8_1,25,-15.245036814561523,9.1783739766106e-05,5.219530202448368e-05
Run_8_1,26,-15.072296395952945,1.6953004756942392e-06,5.23922601249069e-05
Run_8_1,27,-15.725341172120654,2.9861687030643223e-05,5.157132192980498e-05
Run_8_1,28,-15.711762628533435,3.049662138801068e-05,4.186304383911193e-05
Run_8_1,29,-15.214625530787849,1.780793066136539e-05,7.738069002516568e-05
