RunID,Pattern, Intensity, Radius, Points Per Cluster,Time (s),Area (pixels),Scale (pixels per meter),Facet Area (pixels),Facet Perimeter (pixels),Facet Aspect Ratio,Facet Sides,Is Edge Facet,Scale (pixels per meter) (facet),seed,winner_index,Median Colony Area (pixels),Median-Normed Colony Area,Colony ID,Diameter (meters)
Run_101_1,regular,27,0.05,0,22400,612,3000000.0,2429.0,212.43878364562988,1.8028003666580887,6.0,False,3000000.0,26,0.2519555372581309,573.0,0.0680628272251308,26,1.66e-06
Run_101_1,regular,27,0.05,0,22400,474,3000000.0,2494.0,201.37349319458008,1.2916666666666667,5.0,True,3000000.0,27,0.190056134723336,573.0,-0.1727748691099476,27,1.66e-06
Run_102_1,regular,31,0.01,0,21600,576,3000000.0,4159.5,249.1711332798004,1.4509611038670145,8.0,False,3000000.0,1,0.138478182473855,564.0,0.0212765957446808,1,1.66e-06
Run_102_1,regular,31,0.01,0,21600,576,3000000.0,2450.5,205.94719314575195,1.7081544919759788,6.0,True,3000000.0,2,0.2350540705978371,564.0,0.0212765957446808,2,1.66e-06
Run_102_1,regular,31,0.01,0,21600,600,3000000.0,3588.0,251.75342559814453,1.2979590723174512,4.0,True,3000000.0,3,0.1672240802675585,564.0,0.0638297872340425,3,1.66e-06
Run_102_1,regular,31,0.01,0,21600,567,3000000.0,2058.0,197.11847686767575,1.5270923356158184,6.0,False,3000000.0,4,0.2755102040816326,564.0,0.0053191489361702,4,1.66e-06
Run_102_1,regular,31,0.01,0,21600,570,3000000.0,2358.0,201.5777053833008,1.6711573130625943,5.0,False,3000000.0,5,0.2417302798982188,564.0,0.0106382978723404,5,1.66e-06
Run_102_1,regular,31,0.01,0,21600,570,3000000.0,2394.0,236.6695098876953,3.413793103448276,4.0,True,3000000.0,6,0.238095238095238,564.0,0.0106382978723404,6,1.66e-06
Run_102_1,regular,31,0.01,0,21600,426,3000000.0,1654.5,159.1851921081543,1.0,6.0,True,3000000.0,7,0.257479601087942,564.0,-0.2446808510638297,7,1.66e-06
Run_102_1,regular,31,0.01,0,21600,582,3000000.0,4877.5,333.532377243042,2.4035087719298245,6.0,True,3000000.0,8,0.119323423885187,564.0,0.0319148936170212,8,1.66e-06
Run_102_1,regular,31,0.01,0,21600,585,3000000.0,3205.0,213.05212211608887,1.0156823975207805,7.0,False,3000000.0,9,0.1825273010920436,564.0,0.0372340425531914,9,1.66e-06
Run_102_1,regular,31,0.01,0,21600,558,3000000.0,3444.0,243.42820167541504,1.6862745098039216,5.0,True,3000000.0,10,0.1620209059233449,564.0,-0.0106382978723404,10,1.66e-06
Run_102_1,regular,31,0.01,0,21600,558,3000000.0,2176.5,195.4831771850586,1.0810810663736097,4.0,False,3000000.0,11,0.2563749138525155,564.0,-0.0106382978723404,11,1.66e-06
Run_102_1,regular,31,0.01,0,21600,537,3000000.0,2485.5,206.45839309692383,1.830431523498944,5.0,False,3000000.0,12,0.216053108026554,564.0,-0.0478723404255319,12,1.66e-06
Run_102_1,regular,31,0.01,0,21600,540,3000000.0,3805.0,237.8264009952545,1.4323474945423775,8.0,False,3000000.0,13,0.1419185282522996,564.0,-0.0425531914893617,13,1.66e-06
Run_102_1,regular,31,0.01,0,21600,543,3000000.0,3411.0,242.99632501602173,1.052914503789927,6.0,False,3000000.0,14,0.1591908531222515,564.0,-0.0372340425531914,14,1.66e-06
Run_102_1,regular,31,0.01,0,21600,537,3000000.0,4331.5,284.2319755554199,2.1820730457150868,5.0,True,3000000.0,15,0.1239755281080457,564.0,-0.0478723404255319,15,1.66e-06
Run_102_1,regular,31,0.01,0,21600,486,3000000.0,2054.0,195.30045890808103,1.875,6.0,True,3000000.0,16,0.2366114897760467,564.0,-0.1382978723404255,16,1.66e-06
Run_102_1,regular,31,0.01,0,21600,558,3000000.0,2613.0,210.84306621551517,1.2351377858810757,5.0,False,3000000.0,17,0.2135476463834672,564.0,-0.0106382978723404,17,1.66e-06
Run_102_1,regular,31,0.01,0,21600,540,3000000.0,2000.0,180.12326049804688,1.6253722572758005,6.0,False,3000000.0,18,0.27,564.0,-0.0425531914893617,18,1.66e-06
Run_102_1,regular,31,0.01,0,21600,576,3000000.0,3295.5,234.7176551818848,1.8683067274864644,6.0,False,3000000.0,19,0.1747837960855712,564.0,0.0212765957446808,19,1.66e-06
Run_102_1,regular,31,0.01,0,21600,570,3000000.0,3117.5,263.2440223693848,2.374738975056695,5.0,True,3000000.0,20,0.1828388131515637,564.0,0.0106382978723404,20,1.66e-06
Run_102_1,regular,31,0.01,0,21600,558,3000000.0,3000.0,248.55455207824707,1.3959100586306576,4.0,True,3000000.0,21,0.186,564.0,-0.0106382978723404,21,1.66e-06
Run_102_1,regular,31,0.01,0,21600,546,3000000.0,1965.5,188.68570470809937,1.9540688334433491,6.0,False,3000000.0,22,0.2777919104553549,564.0,-0.0319148936170212,22,1.66e-06
Run_102_1,regular,31,0.01,0,21600,498,3000000.0,1547.0,172.07050228118896,1.1000000152587914,4.0,True,3000000.0,23,0.3219133807369101,564.0,-0.1170212765957446,23,1.66e-06
Run_102_1,regular,31,0.01,0,21600,597,3000000.0,2243.5,200.51292419433597,2.057142857142857,4.0,True,3000000.0,24,0.2661020726543347,564.0,0.0585106382978723,24,1.66e-06
Run_102_1,regular,31,0.01,0,21600,537,3000000.0,2774.5,207.39414596557617,1.4488811179262076,6.0,True,3000000.0,25,0.1935483870967742,564.0,-0.0478723404255319,25,1.66e-06
Run_102_1,regular,31,0.01,0,21600,585,3000000.0,5811.0,328.94331073760986,1.662178178189356,5.0,True,3000000.0,26,0.1006711409395973,564.0,0.0372340425531914,26,1.66e-06
Run_102_1,regular,31,0.01,0,21600,564,3000000.0,3787.5,244.217887878418,1.0056063947622254,6.0,False,3000000.0,27,0.1489108910891089,564.0,0.0,27,1.66e-06
Run_102_1,regular,31,0.01,0,21600,600,3000000.0,3313.0,237.7032623291016,1.783535082568733,6.0,True,3000000.0,28,0.1811047389073347,564.0,0.0638297872340425,28,1.66e-06
Run_102_1,regular,31,0.01,0,21600,378,3000000.0,1036.0,159.5020694732666,2.6666666666666665,4.0,True,3000000.0,29,0.3648648648648648,564.0,-0.3297872340425531,29,1.66e-06
Run_102_1,regular,31,0.01,0,21600,570,3000000.0,2519.5,224.76817321777344,2.0681818181818183,4.0,True,3000000.0,30,0.2262353641595554,564.0,0.0106382978723404,30,1.66e-06
Run_102_1,regular,31,0.01,0,21600,600,3000000.0,2524.0,204.9333457946777,1.205284601650367,5.0,False,3000000.0,31,0.2377179080824088,564.0,0.0638297872340425,31,1.66e-06
Run_104_1,regular,30,0.01,0,21000,429,3000000.0,1509.0,160.7010040283203,1.4678899018364624,5.0,False,3000000.0,1,0.2842942345924453,448.5,-0.0434782608695652,1,1.66e-06
Run_104_1,regular,30,0.01,0,21000,441,3000000.0,2202.0,199.63846397399905,1.1360104195148018,4.0,False,3000000.0,2,0.2002724795640326,448.5,-0.0167224080267558,2,1.66e-06
Run_104_1,regular,30,0.01,0,21000,465,3000000.0,3252.5,221.7307472229004,1.0102223977363467,5.0,False,3000000.0,3,0.1429669485011529,448.5,0.0367892976588628,3,1.66e-06
Run_104_1,regular,30,0.01,0,21000,435,3000000.0,2334.0,188.27071380615237,1.0939900698739626,5.0,False,3000000.0,4,0.1863753213367609,448.5,-0.0301003344481605,4,1.66e-06
Run_104_1,regular,30,0.01,0,21000,504,3000000.0,2267.0,196.16275024414065,1.0545454621117971,4.0,True,3000000.0,5,0.2223202470224967,448.5,0.1237458193979933,5,1.66e-06
Run_104_1,regular,30,0.01,0,21000,468,3000000.0,2321.5,214.482271194458,2.3783783783783785,5.0,True,3000000.0,6,0.2015937971139349,448.5,0.0434782608695652,6,1.66e-06
Run_104_1,regular,30,0.01,0,21000,453,3000000.0,2375.0,197.78217124938965,1.1272656671011665,5.0,True,3000000.0,7,0.1907368421052631,448.5,0.0100334448160535,7,1.66e-06
Run_104_1,regular,30,0.01,0,21000,474,3000000.0,3826.5,236.8973970413208,1.0719130891120698,6.0,False,3000000.0,8,0.1238729909839278,448.5,0.0568561872909698,8,1.66e-06
Run_104_1,regular,30,0.01,0,21000,471,3000000.0,2984.0,227.51948356628415,1.749999960263564,5.0,True,3000000.0,9,0.1578418230563002,448.5,0.0501672240802675,9,1.66e-06
Run_104_1,regular,30,0.01,0,21000,435,3000000.0,2263.0,196.22162342071533,1.665544256825679,5.0,True,3000000.0,10,0.1922227132125497,448.5,-0.0301003344481605,10,1.66e-06
Run_104_1,regular,30,0.01,0,21000,384,3000000.0,1165.0,138.96655464172363,1.027027027027027,4.0,True,3000000.0,11,0.3296137339055794,448.5,-0.1438127090301003,11,1.66e-06
Run_104_1,regular,30,0.01,0,21000,483,3000000.0,6662.0,313.80943155288696,1.1337070156314468,7.0,True,3000000.0,12,0.0725007505253677,448.5,0.0769230769230769,12,1.66e-06
Run_104_1,regular,30,0.01,0,21000,465,3000000.0,6262.0,309.25109481811523,1.1453965589278654,5.0,True,3000000.0,13,0.0742574257425742,448.5,0.0367892976588628,13,1.66e-06
Run_104_1,regular,30,0.01,0,21000,435,3000000.0,1659.5,190.408447265625,3.1666666666666665,4.0,True,3000000.0,14,0.262127146730943,448.5,-0.0301003344481605,14,1.66e-06
Run_104_1,regular,30,0.01,0,21000,423,3000000.0,2619.0,213.71098709106445,1.6666666666666667,6.0,True,3000000.0,15,0.1615120274914089,448.5,-0.0568561872909698,15,1.66e-06
Run_104_1,regular,30,0.01,0,21000,408,3000000.0,3135.0,212.3501853942871,1.127105161675905,7.0,False,3000000.0,16,0.1301435406698564,448.5,-0.0903010033444816,16,1.66e-06
Run_104_1,regular,30,0.01,0,21000,456,3000000.0,2690.0,206.49566650390625,1.0175438596491229,6.0,True,3000000.0,17,0.1695167286245353,448.5,0.0167224080267558,17,1.66e-06
Run_104_1,regular,30,0.01,0,21000,399,3000000.0,3600.0,235.5683002471924,1.146224100939592,7.0,False,3000000.0,18,0.1108333333333333,448.5,-0.1103678929765886,18,1.66e-06
Run_104_1,regular,30,0.01,0,21000,441,3000000.0,1930.0,180.303825378418,1.609400292830391,5.0,True,3000000.0,19,0.2284974093264248,448.5,-0.0167224080267558,19,1.66e-06
Run_104_1,regular,30,0.01,0,21000,381,3000000.0,2778.0,235.6648120880127,1.5769230769230769,4.0,True,3000000.0,20,0.1371490280777537,448.5,-0.1505016722408027,20,1.66e-06
Run_104_1,regular,30,0.01,0,21000,474,3000000.0,4052.0,248.2105407714844,1.1176470588235294,5.0,True,3000000.0,21,0.1169792694965449,448.5,0.0568561872909698,21,1.66e-06
Run_104_1,regular,30,0.01,0,21000,414,3000000.0,2918.5,218.0690155029297,1.0117745523996302,6.0,True,3000000.0,22,0.1418536919650505,448.5,-0.0769230769230769,22,1.66e-06
Run_104_1,regular,30,0.01,0,21000,426,3000000.0,2182.5,199.4490509033203,1.9352940589485088,4.0,False,3000000.0,23,0.1951890034364261,448.5,-0.0501672240802675,23,1.66e-06
Run_104_1,regular,30,0.01,0,21000,447,3000000.0,3552.0,227.81231498718265,1.426374210046341,7.0,False,3000000.0,24,0.1258445945945946,448.5,-0.0033444816053511,24,1.66e-06
Run_104_1,regular,30,0.01,0,21000,477,3000000.0,3796.0,254.6932163238525,2.011962091318273,5.0,False,3000000.0,25,0.1256585879873551,448.5,0.0635451505016722,25,1.66e-06
Run_104_1,regular,30,0.01,0,21000,459,3000000.0,3470.5,229.43792152404785,1.746418596263141,8.0,False,3000000.0,26,0.1322575997694856,448.5,0.0234113712374581,26,1.66e-06
Run_104_1,regular,30,0.01,0,21000,447,3000000.0,3961.0,241.2661228179932,1.2045454545454546,6.0,True,3000000.0,27,0.1128502903307245,448.5,-0.0033444816053511,27,1.66e-06
Run_104_1,regular,30,0.01,0,21000,453,3000000.0,2420.5,203.799991607666,1.105263157894737,4.0,True,3000000.0,28,0.1871514149969014,448.5,0.0100334448160535,28,1.66e-06
Run_104_1,regular,30,0.01,0,21000,450,3000000.0,4333.0,268.5847249031067,1.3453213581792731,7.0,False,3000000.0,29,0.1038541426263558,448.5,0.0033444816053511,29,1.66e-06
Run_104_1,regular,30,0.01,0,21000,462,3000000.0,1479.0,175.96873474121094,1.3174440667917888,4.0,True,3000000.0,30,0.3123732251521298,448.5,0.0301003344481605,30,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1524,3000000.0,3675.5,254.50948524475095,2.1308630265562463,6.0,False,3000000.0,1,0.4146374642905727,1446.0,0.0539419087136929,1,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1446,3000000.0,2868.0,209.71106719970703,1.1008610801756762,5.0,False,3000000.0,2,0.50418410041841,1446.0,0.0,2,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1485,3000000.0,4277.0,265.37351989746094,1.6166666666666667,6.0,True,3000000.0,3,0.3472059855038578,1446.0,0.0269709543568464,3,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1488,3000000.0,4391.0,257.3947029113769,1.17248383616112,5.0,True,3000000.0,4,0.3388749715326805,1446.0,0.0290456431535269,4,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1356,3000000.0,4100.0,261.53207778930664,1.7226529632314216,7.0,False,3000000.0,5,0.3307317073170732,1446.0,-0.0622406639004149,5,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1449,3000000.0,3251.5,232.9955816268921,1.685725998270209,6.0,True,3000000.0,6,0.4456404736275565,1446.0,0.0020746887966804,6,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1008,3000000.0,972.0,127.41946983337402,1.4814814814814814,4.0,True,3000000.0,7,1.037037037037037,1446.0,-0.3029045643153527,7,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1092,3000000.0,845.0,125.05209827423096,1.5517241379310345,5.0,True,3000000.0,8,1.2923076923076924,1446.0,-0.2448132780082987,8,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1398,3000000.0,2757.5,208.26111793518064,1.400929854719059,5.0,False,3000000.0,9,0.5069809610154125,1446.0,-0.0331950207468879,9,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1461,3000000.0,3089.5,216.9116058349609,1.4707386620192442,7.0,False,3000000.0,10,0.472892053730377,1446.0,0.0103734439834024,10,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1449,3000000.0,4944.0,281.1875228881836,1.3967899292812536,5.0,True,3000000.0,11,0.2930825242718446,1446.0,0.0020746887966804,11,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1449,3000000.0,3809.0,262.23809719085693,1.8,5.0,True,3000000.0,12,0.3804148070359675,1446.0,0.0020746887966804,12,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1323,3000000.0,3884.5,258.95252990722656,1.875,5.0,True,3000000.0,13,0.340584373793281,1446.0,-0.0850622406639004,13,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1443,3000000.0,4731.0,284.1984634399414,1.8327432842307232,7.0,False,3000000.0,14,0.305009511731135,1446.0,-0.0020746887966804,14,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1518,3000000.0,3146.5,222.58133697509768,1.1947449893726982,5.0,False,3000000.0,15,0.4824408072461465,1446.0,0.0497925311203319,15,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1497,3000000.0,2246.5,202.8554582595825,1.0560830153690668,4.0,False,3000000.0,16,0.6663699087469397,1446.0,0.0352697095435684,16,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1449,3000000.0,5263.0,302.3099365234375,1.087306730799486,4.0,True,3000000.0,17,0.2753182595477864,1446.0,0.0020746887966804,17,1.66e-06
Run_105_1,regular,28,0.1,0,26100,951,3000000.0,806.0,143.01181411743164,2.3846153846153846,3.0,True,3000000.0,18,1.1799007444168734,1446.0,-0.3423236514522821,18,1.66e-06
Run_105_1,regular,28,0.1,0,26100,1434,3000000.0,4264.5,258.51862716674805,1.4008043318675585,5.0,True,3000000.0,19,0.3362645093211396,1446.0,-0.0082987551867219,19,1.66e-06
