RunID,seed,dist_m,centroid_x_m,centroid_y_m,seed_x_m,seed_y_m
Run_4_1,5,6.0064491002950745e-06,4.3e-05,2.28e-05,4.36524975579232e-05,1.6829097410663965e-05
Run_4_1,6,5.435478873444292e-06,4.02e-05,5.7e-05,4.562417229171842e-05,5.664959233254194e-05
Run_4_1,7,2.7153587998511576e-06,8.4e-05,8.48e-05,8.605560518335551e-05,8.657416480127723e-05
Run_4_1,8,9.383529184335e-06,1.52e-05,6.54e-05,1.7208743561059236e-05,7.456600072328001e-05
Run_4_1,9,4.611623811972069e-06,9.34e-05,9.54e-05,9.509670166298748e-05,9.968815550673752e-05
Run_4_1,10,3.336024223257023e-06,9.08e-05,6.48e-05,9.14313695859164e-05,6.807573351543397e-05
Run_4_1,11,1.1416016376557549e-05,1.6e-05,2.88e-05,2.2569322772324087e-05,1.9463543058373037e-05
Run_4_1,12,1.8043619728281083e-06,4.42e-05,5.6e-06,4.529875300358981e-05,7.031245599500835e-06
Run_4_1,13,6.457508801884525e-06,8.86e-05,3.04e-05,8.265085478778929e-05,2.7888607722707093e-05
Run_4_1,14,7.310278227020496e-06,4.6e-05,8.56e-05,4.366167199332268e-05,9.25262103555724e-05
Run_4_1,15,6.4139431492683725e-06,5.4e-05,3.98e-05,5.8058942621573806e-05,4.476625125389546e-05
Run_4_1,16,2.565900644415447e-06,7.66e-05,5.62e-05,7.476897770538926e-05,5.4402445140294734e-05
Run_4_1,17,4.740019678566668e-06,9.38e-05,8.6e-06,9.554826049134136e-05,4.194166162051261e-06
Run_4_1,18,4.380626194904452e-06,6e-06,8.92e-05,1.6923620132729412e-06,8.99963296018541e-05
Run_4_1,19,2.1587902213346974e-06,6.96e-05,3.28e-05,7.161153724882751e-05,3.3583640935830776e-05
Run_4_1,20,1.1506838664545877e-06,6.1e-05,1.2e-05,6.018499284982681e-05,1.118769666645676e-05
Run_4_1,21,6.970082391687555e-06,6.5e-05,8.86e-05,6.591777494177222e-05,9.550939488690347e-05
Run_4_1,22,6.276349717577049e-07,7.8e-05,1e-05,7.857610664796085e-05,1.0249051777645944e-05
Run_5_1,1,2.6981324315703577e-06,3.54e-05,8.46e-05,3.369808029383421e-05,8.250634579453618e-05
Run_5_1,2,7.715802366245353e-06,8.2e-05,5.02e-05,8.059319588355721e-05,5.7786468765698376e-05
Run_5_1,3,1.3314965819748549e-05,6.76e-05,8.38e-05,6.599267858546228e-05,7.058240443002432e-05
Run_5_1,4,2.6815841604470653e-06,4.88e-05,6.4e-05,5.138542759232223e-05,6.328834153246135e-05
Run_5_1,5,2.3679960117491036e-07,6.5e-05,5.8e-06,6.510712602175773e-05,5.588817456737161e-06
Run_5_1,6,2.2692360459333736e-06,4.4e-06,4.72e-05,2.27935581933707e-06,4.639234878122807e-05
Run_5_1,7,6.6240865501193964e-06,4.2e-05,9.52e-05,3.712342982180417e-05,9.968303311616185e-05
Run_5_1,8,4.517868951432811e-06,9.36e-05,2.88e-05,9.373573574703189e-05,2.4284170544706287e-05
Run_5_1,9,6.515364252769993e-06,7.9e-05,3.06e-05,8.030611285939814e-05,2.4216894130222505e-05
Run_5_1,10,9.566146543976602e-07,7.06e-05,6.52e-05,7.059765404555947e-05,6.615661177784204e-05
Run_5_1,11,2.949621715909327e-06,5.26e-05,4.06e-05,5.4774177866056574e-05,4.259329347405583e-05
Run_5_1,12,2.8749040924841943e-06,2.76e-05,1.46e-05,2.5360220763832333e-05,1.2797650834545494e-05
Run_5_1,13,3.4297948975349434e-06,1.88e-05,7.18e-05,2.222720207646489e-05,7.19333377899602e-05
Run_5_1,14,7.375000020211344e-08,1.94e-05,4.6e-06,1.938511719927192e-05,4.672232712619007e-06
Run_5_1,15,3.3666662851780644e-06,7.92e-05,1.34e-05,7.912381491623819e-05,1.676580416969955e-05
Run_5_1,16,5.637113141620599e-06,2.16e-05,4.58e-05,1.6492242575623095e-05,4.818492319900543e-05
Run_5_1,17,2.784757533269815e-06,5.16e-05,2.02e-05,4.9019902804866434e-05,1.915215793997049e-05
Run_5_1,18,1.2288243051359854e-06,5.8e-06,8.4e-06,5.299521284177899e-06,9.522287943400444e-06
Run_5_1,19,3.420652459254589e-06,9.14e-05,6e-06,9.37510535120964e-05,3.515365091152489e-06
Run_5_1,20,6.2894419933516115e-06,3.92e-05,2.94e-05,4.3881206936202944e-05,2.5199597375467425e-05
Run_5_1,21,4.042204683126142e-06,8.8e-06,8.58e-05,7.152737188152969e-06,8.210866637527943e-05
Run_5_1,22,7.007548704631179e-06,3.02e-05,6.1e-05,2.9001241363585e-05,6.790425351355225e-05
Run_5_1,23,4.982950832477508e-06,5.6e-06,3.76e-05,2.620771806687117e-06,4.159424565732479e-05
